020272,"Thu Nov 18, 2010",7:30 PM ET,NASHVILLE,MONTREAL
020273,"Thu Nov 18, 2010",8:30 PM ET,SAN JOSE,DALLAS
020274,"Fri Nov 19, 2010",7:00 PM ET,CAROLINA,PITTSBURGH
020275,"Fri Nov 19, 2010",7:30 PM ET,MINNESOTA,DETROIT
020276,"Fri Nov 19, 2010",7:30 PM ET,LOS ANGELES,BUFFALO
020277,"Fri Nov 19, 2010",7:30 PM ET,WASHINGTON,ATLANTA
020278,"Fri Nov 19, 2010",8:00 PM ET,OTTAWA,ST LOUIS
020279,"Fri Nov 19, 2010",9:00 PM ET,NY RANGERS,COLORADO
020280,"Fri Nov 19, 2010",9:00 PM ET,PHOENIX,EDMONTON
020281,"Fri Nov 19, 2010",9:30 PM ET,CHICAGO,CALGARY
020282,"Fri Nov 19, 2010",10:00 PM ET,COLUMBUS,ANAHEIM
020283,"Sat Nov 20, 2010",7:00 PM ET,LOS ANGELES,BOSTON
020284,"Sat Nov 20, 2010",7:00 PM ET,TAMPA BAY,BUFFALO
020285,"Sat Nov 20, 2010",7:00 PM ET,TORONTO,MONTREAL
020286,"Sat Nov 20, 2010",7:00 PM ET,FLORIDA,NY ISLANDERS
020287,"Sat Nov 20, 2010",7:00 PM ET,PHILADELPHIA,WASHINGTON
020288,"Sat Nov 20, 2010",7:00 PM ET,NASHVILLE,CAROLINA
020289,"Sat Nov 20, 2010",8:00 PM ET,NEW JERSEY,ST LOUIS
020290,"Sat Nov 20, 2010",8:00 PM ET,NY RANGERS,MINNESOTA
020291,"Sat Nov 20, 2010",8:00 PM ET,COLORADO,DALLAS
020292,"Sat Nov 20, 2010",10:00 PM ET,CHICAGO,VANCOUVER
020293,"Sat Nov 20, 2010",10:30 PM ET,COLUMBUS,SAN JOSE
020294,"Sun Nov 21, 2010",5:00 PM ET,NY ISLANDERS,ATLANTA
020295,"Sun Nov 21, 2010",5:00 PM ET,CALGARY,DETROIT
020296,"Sun Nov 21, 2010",8:00 PM ET,EDMONTON,ANAHEIM
020297,"Sun Nov 21, 2010",9:00 PM ET,PHOENIX,VANCOUVER
020298,"Mon Nov 22, 2010",7:00 PM ET,DALLAS,TORONTO
020299,"Mon Nov 22, 2010",7:00 PM ET,WASHINGTON,NEW JERSEY
020300,"Mon Nov 22, 2010",7:00 PM ET,CALGARY,NY RANGERS
020301,"Mon Nov 22, 2010",7:00 PM ET,MONTREAL,PHILADELPHIA
020302,"Mon Nov 22, 2010",7:00 PM ET,NASHVILLE,COLUMBUS
020303,"Mon Nov 22, 2010",7:30 PM ET,LOS ANGELES,OTTAWA
